ir,red,heart_rate,gsr,cortisol
186307,137341,107,863,18.17
190908,140288,107,807,18.49
188502,139110,166,1273,19.3
191552,141782,150,1300,19.62
86001,78459,125,912,18.7
1650,1166,166,1315,18.9
1713,914,150,1101,18.86
1814,967,73,528,17.55
1798,935,85,1461,19.94
1843,995,96,1800,20.43
1871,1015,101,1701,19.59
1828,975,96,1696,20.11
1937,1055,40,1172,19.1
1913,993,92,1264,17.95
1803,981,81,1204,19.03
1820,974,97,1603,19.27
1806,979,89,1466,19.1
1881,970,83,1424,19.41
1854,977,93,1411,19.83
1851,988,87,1406,19.04
1821,1022,87,1394,19.79
1851,1014,82,1377,19.81
1845,952,81,1344,19.63
1853,976,94,1333,19.24
1832,956,91,1377,19.6
1859,971,89,1377,20.53
1791,875,82,1381,19.84
1849,1001,93,1374,19.14
1845,985,89,1353,19.82
1840,963,81,1333,19.73
1858,1022,79,1163,19.3
1841,1002,75,1129,19.21
1804,996,78,1108,19.23
1850,954,75,1104,19.34
1852,989,86,1084,18.66
1865,987,52,1121,19.0
1849,1022,79,1142,18.75
1844,993,84,1152,18.83
1851,969,55,240,15.55
1880,976,67,505,17.43
1857,979,75,666,18.06
1852,1007,77,1009,18.42
1915,986,83,1156,18.76
1837,1001,85,1121,19.34
1855,985,73,926,19.04
1867,1001,71,753,18.7
1864,969,75,1040,18.76
1864,1047,79,1072,19.0
4287,2343,74,745,18.33
196621,142281,70,527,17.58
195666,141939,64,543,18.0
196615,142324,65,592,17.99
196814,142454,76,571,17.72
196889,142580,71,704,17.73
195662,142246,77,710,18.61
195007,142348,71,607,17.53
196224,143083,71,598,18.15
195406,143107,65,528,17.85
194439,142940,67,459,17.52
195488,143303,65,463,17.08
196838,143965,71,444,17.15
196686,144141,63,445,17.08
194872,143593,58,400,17.49
194914,143543,68,371,16.44
0,145376,70,501,17.61
993,794,68,417,17.44
803,635,58,242,17.24
932,693,66,314,16.63
180502,136181,56,274,15.95
191234,140473,57,294,16.15
193605,141364,59,333,16.91
190159,140275,70,338,16.6
190570,140418,58,336,16.94
188255,139609,72,565,17.7
187495,139130,74,569,17.7
188024,139616,72,550,18.91
189660,140228,41,541,17.15
188772,139797,64,530,17.79
187876,139518,72,527,17.96
192090,141093,73,529,17.55
196457,143035,68,475,17.8
196571,143167,72,615,17.43
199071,144366,69,619,18.77
199203,144720,65,637,18.0
199547,144638,75,650,17.74
200160,144960,76,646,17.8
199697,144753,71,645,17.7
201315,145385,74,658,18.23
