ir,red,heart_rate,gsr,cortisol
184590,134294,82,870,18.49
183789,134183,77,859,18.54
183669,134149,74,913,18.48
183282,134038,76,849,18.53
182053,133677,78,843,18.78
182441,133877,73,832,18.46
186379,135724,70,780,18.58
184832,135012,78,816,18.01
183950,134740,71,818,18.87
181466,133812,50,802,18.74
181844,133878,71,747,18.55
178195,132769,71,856,18.98
181550,133954,75,774,18.76
182745,134139,73,832,18.28
183983,134590,69,832,18.75
179994,133189,72,822,18.32
174358,131741,72,907,18.54
180929,133578,75,885,18.61
187227,135305,82,932,18.82
189423,135712,80,834,18.08
190065,135863,74,887,18.66
190614,135987,77,954,18.73
191583,136426,79,918,18.85
191835,136344,82,975,19.19
192235,136220,78,919,18.65
192358,136232,75,913,19.0
192210,135990,82,850,18.89
191571,135563,76,985,19.22
190917,135227,73,1041,18.44
190255,134959,83,1040,18.61
189609,134745,73,983,19.14
188643,134487,75,1009,18.97
187078,134312,79,1011,19.25
186945,134356,79,991,19.11
186948,134374,76,995,19.1
186849,134364,102,999,18.4
186304,134226,72,547,18.09
185728,134137,55,66,12.97
186024,134297,65,527,17.42
185020,133917,75,785,18.42
185624,134158,73,701,18.61
185288,134106,74,591,18.22
184492,133900,73,631,18.26
184790,133934,73,525,17.73
185139,134091,71,524,17.77
184774,133983,61,511,17.1
185515,134189,70,528,17.93
184450,133904,69,875,18.12
183625,133672,77,875,18.58
182750,133438,78,855,18.05
184077,133971,68,613,17.68
182461,133599,75,573,18.06
181948,133464,66,624,18.0
182886,133610,69,720,17.97
181816,133500,71,928,18.91
180607,133174,80,872,18.68
179609,132900,66,693,18.27
180083,133057,66,583,17.47
176175,131732,73,753,18.56
176802,132088,69,783,18.48
178589,132717,79,823,18.63
179911,133151,81,800,18.44
177896,132495,72,783,17.06
176547,132076,73,784,17.98
177155,132314,71,784,18.15
179051,132868,66,727,18.5
179388,132884,73,703,18.53
179273,132697,69,422,16.98
178908,132673,71,698,18.6
179040,132753,69,656,17.71
178087,132552,70,715,17.85
173991,130978,78,704,18.44
172724,130717,77,734,17.86
173409,131053,68,704,18.45
195470,138231,63,205,15.63
193716,136712,66,290,15.9
190471,134980,71,593,17.42
191057,135035,69,495,17.73
190915,134480,78,736,17.93
192509,135763,77,1163,19.55
185591,131538,50,912,18.35
189748,135213,75,906,18.18
184267,132026,78,880,18.27
182738,131033,74,838,18.13
181546,130781,79,830,18.65
188750,134985,80,823,17.95
189066,135105,69,830,18.17
187506,134318,76,805,18.84
186822,134029,74,822,18.61
185707,133589,75,809,18.47
185889,133064,72,796,18.66
183457,132695,72,813,18.41
188198,135036,68,795,18.85
188139,135024,67,784,18.77
186421,133924,66,768,18.32
178916,129863,88,1210,19.02
0,130470,84,997,18.86
182795,132385,79,1212,19.49
176391,123245,89,958,18.87
180135,125026,71,949,19.02
178923,124467,75,949,18.22
178587,124260,74,939,17.87
178237,123975,80,938,18.78
177573,123700,74,957,18.99
178041,124105,77,951,18.47
178179,124084,89,939,19.14
176853,123431,77,942,18.61
177124,123512,76,923,18.8
178398,124187,70,923,19.12
178302,123846,70,933,18.69
177594,123480,74,918,18.77
178738,124008,76,922,18.21
178670,123859,83,912,18.92
178244,123550,80,912,18.22
178696,123734,74,917,19.0
177894,123147,76,912,18.28
175961,122138,79,924,18.38
175345,121870,83,915,18.3
178015,123320,71,931,19.16
177913,123349,73,925,18.6
177869,123244,78,923,18.25
177221,123034,80,928,18.49
177561,122969,81,907,18.83
177265,123219,79,913,18.53
177505,123291,80,910,17.37
177293,123201,80,927,18.45
177290,123358,76,914,18.54
176844,123275,72,912,18.61
177112,123299,70,907,18.31
177615,123714,78,913,18.89
177700,123740,80,919,18.28
178463,124050,83,912,18.95
177659,123726,81,915,18.94
177803,123814,79,933,18.85
178614,124262,81,928,18.92
179204,124599,71,923,18.66
178571,124231,73,923,19.07
177754,123930,81,918,18.63
177449,123695,82,931,18.55
177421,123746,77,925,18.9
176063,123062,72,917,18.94
174054,122090,72,922,18.88
175235,122743,76,927,18.9
175693,122876,73,912,18.71
175233,122822,71,907,17.72
177216,123897,79,912,18.14
177815,124192,77,917,18.86
177637,124144,77,917,18.63
177882,124200,79,911,18.54
177507,124017,78,904,19.09
177458,124063,81,907,18.94
177500,124081,72,911,18.33
177540,124106,81,917,18.25
176966,123822,80,898,18.37
172087,121652,72,903,18.76
172033,121588,80,901,19.02
173049,122095,76,894,18.38
174130,122448,77,919,18.7
172943,121913,82,912,18.8
172317,121560,82,912,18.57
170049,120565,83,909,18.24
170171,120727,71,900,18.88
170395,120837,73,907,18.34
170068,120746,81,907,18.31
170130,120809,75,924,18.76
169558,120679,72,922,19.06
170289,120859,72,896,18.55
169491,120757,72,891,19.07
169717,121036,77,906,18.93
170023,121029,49,896,18.25
169119,120656,75,906,18.97
167495,120403,73,912,19.03
167559,120556,80,903,18.93
168223,120790,76,912,18.92
169219,121041,75,896,18.96
169479,121244,70,880,18.29
166337,120270,72,880,20.12
166868,120531,64,889,18.73
167550,120802,75,883,18.46
167510,120740,73,900,18.11
166351,120377,71,890,18.31
167244,120434,76,912,18.87
165405,119833,75,880,18.68
165668,119926,77,897,18.56
166029,120529,82,896,18.91
165645,120450,77,833,18.29
168104,121225,75,894,18.1
167438,121045,83,882,18.79
165611,120398,86,878,18.97
165368,120336,77,887,18.43
166606,120711,70,858,18.7
165605,120524,66,880,18.93
165077,120300,74,871,18.14
167448,120931,82,861,18.45
168054,121362,74,845,18.17
166080,120659,80,878,18.66
166484,120612,81,850,18.0
166062,120584,80,864,18.06
165246,120412,70,849,18.28
166116,120504,72,839,18.86
164528,119915,73,851,18.55
164821,120240,82,849,18.11
164647,120010,79,865,18.27
165507,120410,75,858,18.14
165344,120416,72,838,18.87
167015,120923,69,850,18.14
166354,120623,81,849,18.26
166980,120741,70,830,18.06
168687,121328,73,832,18.68
166883,120667,73,819,18.38
165259,119986,78,818,18.66
163073,119447,77,825,18.29
163630,119713,78,812,18.22
162656,119240,76,806,18.08
163172,119523,77,813,18.88
164530,120112,69,810,17.95
165591,120516,74,809,18.26
165144,120440,70,805,18.84
162840,119368,81,795,18.84
160462,118307,103,803,20.4
161539,118810,75,809,18.01
163227,119416,73,809,18.77
165202,120905,72,794,18.51
155351,114739,78,787,18.69
160442,117653,69,832,18.09
0,118066,59,850,18.15
163842,131071,70,866,18.43
0,120303,70,853,18.85
161878,119167,82,864,18.73
9938,2503,77,1203,18.82
193749,136361,83,1146,19.11
195028,136530,88,1184,19.08
195321,136610,78,1264,18.86
194884,136418,79,1252,19.64
194165,136146,87,1242,19.49
194608,136369,80,1247,18.8
193821,136185,84,1255,19.73
193524,136065,81,1270,19.64
194239,136230,87,1262,19.76
194708,136410,90,1270,19.77
195333,136700,88,1262,19.71
195960,136907,82,1289,19.59
196319,136881,89,1262,18.86
197736,137493,89,1264,19.75
197880,137390,86,1179,19.6
198433,137324,84,1283,19.34
9561,114119,56,153,15.47
153853,115145,61,105,13.85
154598,115761,60,87,13.53
155271,115981,55,91,14.01
152427,114835,56,171,15.54
152335,114893,50,35,12.55
153572,115595,62,62,13.08
154267,115988,55,90,14.34
153979,115888,51,125,15.1
154411,116086,64,169,15.32
153988,116051,65,158,15.47
158660,116081,62,117,14.29
162303,118843,71,475,17.39
165899,121518,64,371,16.94
170755,126883,78,1250,19.67
181939,131142,77,1184,18.89
184098,131911,94,1488,20.01
183418,131883,91,1593,20.12
184368,132424,96,1606,19.57
183241,131911,94,1577,20.06
181585,131296,98,1607,19.57
182616,131966,94,1680,20.22
185567,131998,106,1903,19.93
184441,132320,111,1879,19.74
184550,132447,97,1843,20.47
183809,132166,103,1851,19.73
182809,131941,103,1826,20.42
182460,131762,94,1904,20.25
183964,132265,109,1979,20.26
187077,133367,99,1767,20.34
187290,133267,95,1750,20.03
187502,133185,102,1776,19.82
186478,132663,103,1816,20.45
185850,132782,94,1776,20.01
185684,132629,101,1786,19.99
185465,132840,94,1861,19.92
184459,132203,91,1757,19.45
184601,131619,90,1639,19.65
183375,131262,89,1693,20.18
183986,131619,109,1729,20.05
0,131291,94,1714,19.94
177600,128254,91,1647,19.43
185831,131165,91,1612,19.83
184447,130526,100,1642,18.74
182408,129780,99,1611,20.01
182021,129615,96,1621,20.02
181635,129440,98,1594,19.58
180627,129171,94,1627,20.71
181710,129596,87,1602,20.24
180396,129151,98,1594,19.69
179651,128883,98,1598,19.42
178493,128459,96,1599,20.21
180412,128796,93,1659,19.6
180785,128957,99,1629,19.47
176933,127316,96,1595,19.51
178490,127822,95,1584,19.74
178763,127889,91,1574,19.88
178425,127705,95,1579,19.84
178241,127713,86,1535,19.51
178400,127816,88,1535,19.61
178755,127886,92,1559,19.43
178698,127958,95,1567,19.65
178492,127855,94,1570,19.5
178183,127773,89,1573,19.88
180811,128586,89,1623,19.93
179484,128112,94,1697,20.07
177447,127193,88,1559,19.3
171117,123830,96,1501,19.74
175009,125444,96,1495,19.85
186859,130830,87,1358,19.88
179322,133141,86,1247,19.33
181872,134234,88,1232,19.07
182055,134328,81,1152,19.27
179457,133092,83,1136,18.69
177888,132354,89,1450,19.88
181312,132990,93,1396,19.64
182121,132794,84,1232,19.67
181679,132675,79,1138,19.08
180633,132392,87,1281,19.34
180333,132150,82,1183,19.55
176647,130636,81,1325,19.53
177682,130527,87,1410,19.15
178306,130129,69,1401,19.7
181611,130618,90,1363,19.04
178565,129341,88,1403,19.67
180952,130103,90,1405,19.97
181648,129506,90,1559,19.8
180631,130684,90,1388,19.28
181976,131510,79,1231,19.21
181870,131347,84,1194,19.44
180717,131012,93,1563,20.03
179746,130602,87,1557,20.13
176955,129614,95,1616,20.2
177522,129695,91,1597,20.07
184143,132231,94,1571,19.71
181226,130935,85,1535,20.04
180401,130425,92,1552,19.77
178516,129925,87,1535,20.09
179638,130380,85,1527,20.07
178198,130001,89,1533,19.91
174217,128228,86,1500,19.65
175422,128585,86,1504,18.66
176607,128855,86,1491,19.88
174972,128081,86,1477,18.59
176284,128379,95,1428,19.38
176695,128667,94,1405,19.61
178805,129737,93,1409,19.12
154371,115473,95,1598,19.6
148757,111656,80,900,18.36
159262,118232,104,1979,20.26
159450,119262,102,1689,20.02
152766,114473,100,2047,20.71
166956,122500,102,2032,19.77
859,687,101,2077,20.61
876,731,54,262,16.31
190040,136453,103,2064,20.41
0,135067,95,1616,20.13
188998,134319,85,1168,19.18
187183,133698,84,1371,19.9
187669,134032,70,756,18.36
189056,134973,86,1328,19.07
190617,135758,88,1125,19.15
188121,134831,84,1327,19.57
188695,134945,91,1679,19.39
188389,134779,93,1532,19.9
189411,135000,95,1591,19.65
187092,133998,86,1347,18.98
186625,133726,78,1232,19.7
185346,132922,77,841,18.26
185334,132555,85,1384,19.47
184424,132174,84,1182,19.11
184929,132043,92,1440,19.9
183426,131602,80,1195,19.57
183985,131162,86,1468,19.28
183629,130890,85,1470,19.81
182584,130822,86,1573,19.71
182977,131068,98,1553,20.12
183736,131116,97,1557,19.53
183302,130976,90,1578,19.83
183608,131076,81,1258,19.64
183719,130980,85,1206,18.7
183619,130734,85,1421,19.21
183745,130594,73,1386,19.25
183772,130608,92,1381,19.06
183795,130724,85,1386,19.01
184251,130807,91,1342,19.03
184281,130483,83,1349,19.1
183628,129961,75,797,18.3
0,129493,78,1050,19.14
181475,129233,73,880,18.59
181264,129148,84,971,18.92
180900,129006,75,944,18.6
181128,129137,64,933,18.76
183207,129739,79,1039,18.83
183185,129610,74,1088,19.04
181997,129265,78,1105,19.25
182454,129432,77,1152,18.79
182231,129130,72,774,18.57
181311,128723,70,799,18.62
182796,129073,68,789,18.84
180488,128219,76,781,18.5
181638,128480,83,983,19.07
180248,128071,79,942,18.25
179299,127728,73,938,19.13
180362,127987,71,880,18.48
179099,127487,72,881,18.25
180097,127938,72,870,18.32
178176,127265,73,881,18.51
178517,127353,74,838,18.18
176984,126956,44,879,19.03
177086,126743,81,880,18.12
177855,126990,68,854,18.46
178748,127389,82,865,18.21
174747,123855,82,889,19.08
177198,124963,77,1068,18.51
178845,125963,83,1119,19.11
184586,129897,91,1245,19.59
182986,129223,78,1250,19.01
180815,128712,89,1205,19.38
182453,129544,69,1277,19.35
181626,129771,88,1230,18.75
184219,130761,82,1195,18.98
181048,129503,87,1175,19.3
183842,130674,83,1140,19.27
182814,130263,81,1185,19.58
181395,129727,84,1166,19.34
181233,129620,79,1182,19.04
182324,130036,69,1179,17.76
180992,129593,77,1206,19.42
181209,129597,78,1201,18.72
182048,129927,87,1189,18.82
182175,130112,89,1221,18.81
182152,130090,91,1290,19.06
183132,130390,87,1441,19.79
183529,130348,85,1525,20.05
182852,130202,99,1602,19.76
183975,130887,118,2608,20.84
182400,130557,104,2241,20.01
183340,130798,107,2143,20.39
182722,130533,101,2192,21.92
182354,130362,95,2432,20.67
182064,130299,117,2397,20.94
181934,130143,139,2409,20.6
181705,130032,107,2386,20.37
182543,130466,113,2343,20.5
182015,130372,113,2468,20.6
181929,130422,112,2438,20.46
187366,131486,84,1075,18.93
189007,132664,107,2400,20.35
188094,132286,119,2489,20.84
188704,132168,72,692,17.73
188976,132293,67,681,18.37
188728,132138,92,637,18.2
186797,131373,73,653,17.97
187103,131122,80,1049,18.69
186220,130748,81,1104,18.88
184383,130201,85,916,18.65
183376,129999,70,864,18.09
183860,130215,75,847,18.22
183550,130233,75,905,17.87
183781,130321,70,923,18.41
183855,130285,80,929,18.74
183073,130031,63,897,18.73
184126,130393,76,772,18.42
182977,129965,78,743,18.1
183177,130121,85,1245,18.97
182577,129870,78,1173,19.59
184011,130294,80,1122,19.52
184982,130776,76,991,18.93
186078,131143,88,1218,19.63
185459,130978,79,1185,18.86
185245,130678,87,1183,19.29
186114,130965,89,1151,19.19
185928,130778,78,1200,19.5
186411,130821,96,1251,19.4
186048,130760,88,1343,19.52
186663,130852,88,1423,19.36
183917,130107,90,1615,20.0
184449,129868,89,1557,19.61
182454,129235,100,1680,19.86
181615,129193,90,1681,20.31
183294,129884,101,1690,19.6
183151,130010,107,2352,20.85
182434,129757,104,2292,20.29
182319,129707,110,2278,20.11
183028,129931,105,2179,20.09
184179,130130,102,2250,20.81
184233,130094,114,2210,20.76
185271,130491,126,2911,20.58
185497,130797,88,1158,19.08
186056,130997,113,2677,20.67
184817,130692,130,2938,21.08
185072,130694,62,487,17.81
185024,130669,113,2659,18.49
184403,130522,129,2865,20.54
184509,130534,116,2741,21.28
185101,130715,127,2752,21.15
183697,130274,116,2836,21.21
186077,131324,97,1863,20.05
183982,130552,97,1673,19.79
184630,130762,100,2067,20.17
183857,130446,103,2111,19.87
184866,130730,96,1779,20.09
183385,130227,102,1821,19.69
184333,130462,103,1811,21.73
183021,130037,100,1920,20.15
182369,129857,95,1805,19.65
181829,129620,96,1776,20.11
178572,134059,68,783,19.27
180222,134927,77,769,17.96
145470,133442,59,367,17.25
182647,132116,58,369,16.53
182976,131994,68,370,17.24
182525,131610,66,374,17.23
184828,132857,64,486,17.69
185637,133190,64,533,17.15
183828,132340,73,594,17.57
183514,132395,71,499,17.88
180115,130201,63,473,18.49
178873,129536,71,477,17.39
179802,129852,66,476,16.95
180758,130470,72,481,17.82
180638,130861,69,480,17.03
179748,129893,67,493,17.87
180276,129965,71,479,17.32
179059,129740,69,488,16.9
187958,133523,84,1014,19.02
185695,132113,86,1018,18.55
186623,132514,75,579,17.99
185348,131987,67,540,18.51
181914,130437,67,523,17.06
182358,130509,65,511,17.93
181535,130207,70,501,17.84
181315,130296,62,502,17.63
182095,130320,61,530,17.6
182915,130542,66,522,17.91
182189,130312,66,507,17.41
182337,130393,69,511,17.84
181800,130157,69,525,17.73
181024,129783,61,524,17.08
181165,129745,74,511,17.27
181712,129957,64,525,17.96
182636,130225,73,527,17.67
180934,129651,74,511,17.03
181570,129880,74,559,17.54
180761,129642,73,511,17.23
180727,129610,67,486,17.32
181092,129361,73,483,17.58
179372,129115,70,484,16.93
179935,129309,70,490,17.87
179373,129090,96,483,17.55
178828,128919,60,483,17.46
179098,129104,66,482,17.16
178980,129042,63,480,17.12
179256,129203,69,485,17.27
179285,129067,67,511,17.41
179274,129127,62,503,17.74
179320,129189,65,499,17.76
178066,128629,60,488,16.96
177919,128696,62,483,17.19
180976,129792,63,475,17.15
179215,129203,72,496,17.26
176119,127773,71,485,17.31
178751,128930,61,478,17.05
179454,128919,64,487,17.01
177153,127850,66,475,17.79
176956,127923,66,473,17.02
176646,127902,62,475,17.27
178185,128521,66,477,17.66
177054,128131,71,471,17.71
176720,127820,72,466,17.65
175179,127429,65,463,17.28
176729,128105,63,457,17.55
176445,128224,68,510,17.16
177574,128675,71,522,17.38
179499,129360,66,521,17.79
177992,128623,65,522,17.26
177706,128302,66,470,17.55
178016,128421,63,454,17.24
177782,128266,66,463,17.43
176562,128069,66,455,17.32
177291,128128,64,454,17.74
176363,128059,62,448,17.64
176960,128274,62,442,16.85
175521,127872,60,437,17.41
175996,127916,70,448,17.13
175825,128274,58,412,17.38
179855,130001,68,793,17.91
179303,129782,67,650,18.32
179063,129540,76,643,18.03
177789,128930,70,604,17.72
178605,128997,73,589,17.41
177490,128729,66,556,17.36
176959,128459,74,555,17.88
177082,128423,74,535,17.49
178868,129225,61,446,17.09
181747,130287,73,613,16.42
179291,129303,77,651,18.38
179511,129205,72,642,17.73
180622,129502,69,646,17.94
181531,129723,77,645,18.33
181959,129462,68,631,17.64
178753,128607,65,634,17.87
178579,128795,56,615,17.71
178501,128979,71,591,17.33
180557,129793,65,624,17.46
178093,128690,64,618,18.31
178961,128944,66,605,17.35
179056,129144,67,589,18.06
178005,128841,65,560,17.58
177620,128639,63,555,18.04
179211,129383,74,545,17.37
178491,129100,62,546,18.08
178215,129003,73,541,17.49
176893,128755,73,531,17.97
179213,129519,66,528,17.44
177664,129117,63,506,17.53
178389,129114,67,507,17.43
178439,129017,68,493,17.53
178787,129242,64,496,17.8
180046,129854,71,545,18.05
179770,129820,64,530,17.94
179248,129787,66,497,17.43
181451,130737,71,554,18.05
181264,130611,73,587,17.83
180625,130095,72,574,17.6
179376,129760,70,569,17.31
179007,129639,64,576,18.02
178627,129501,77,665,17.54
177799,129186,77,673,17.56
178096,129297,66,688,18.5
178363,129386,69,688,18.17
175761,128628,66,691,18.26
176509,128784,73,690,17.84
179857,129708,70,725,17.75
179437,129478,70,722,17.85
180190,129768,73,698,17.76
180086,129841,64,655,17.78
183729,131373,69,415,17.19
181747,130724,87,461,16.8
178504,129468,61,375,16.44
177881,129407,62,387,17.34
179104,129911,63,395,16.99
178842,129708,70,390,17.32
179406,129874,69,386,16.8
178100,129548,64,387,16.73
177460,129185,59,385,16.7
176366,128989,64,384,16.8
177683,129356,61,385,17.41
178322,129481,56,316,16.56
178816,129661,42,383,16.56
178481,129599,67,377,16.62
179661,129883,70,381,16.62
180092,130349,72,508,17.39
178405,129682,73,741,18.5
180917,130395,76,704,17.81
180836,129882,67,624,17.57
181556,130005,49,576,17.76
181291,129838,73,564,17.85
180944,129712,61,559,17.2
0,130705,68,787,18.68
176243,127885,69,661,17.74
178831,129610,76,895,18.39
179616,129675,81,850,18.08
178034,128472,84,993,19.06
179247,128705,77,997,18.84
177646,127956,75,983,18.81
177835,128745,74,951,18.84
177841,128985,77,943,18.75
177725,129100,71,946,18.66
178305,129280,72,951,18.72
179147,129551,78,982,18.46
178751,129388,75,979,19.07
179398,129450,72,985,18.58
179540,129476,72,987,18.53
178854,129301,77,971,18.59
178200,129230,72,965,18.4
178326,129358,73,967,18.29
178945,129691,76,960,18.56
179282,129593,80,951,18.38
179223,129747,71,951,18.74
180201,130148,77,954,18.53
179825,130045,80,944,18.94
179340,129873,73,955,18.83
178524,129412,83,972,18.65
178898,129474,73,969,19.04
178613,129521,83,965,18.31
179322,130110,80,947,18.44
178117,129353,77,944,18.9
178780,129720,84,944,18.82
179023,129823,77,944,18.85
179183,130036,79,923,18.25
179339,130133,83,907,18.22
179637,130253,79,898,18.76
180055,130438,83,902,18.63
179198,130166,70,907,18.51
178439,129853,78,903,18.55
178519,129918,77,902,18.39
178815,129886,77,907,18.23
178877,130002,77,912,19.0
178533,129916,84,918,18.7
178924,130072,73,912,18.23
177435,129789,76,937,18.69
173636,127396,80,853,18.7
181040,130619,73,867,18.92
183534,131715,82,972,19.13
182799,131300,81,964,18.63
179014,129562,71,967,18.98
177163,129069,71,947,19.06
178538,129575,81,947,18.47
177782,129341,76,945,18.93
179064,129648,78,933,19.06
178832,129564,73,938,18.83
179447,129756,72,929,19.96
178518,129541,77,929,18.63
178186,129430,71,911,18.16
177978,129357,72,906,18.51
177975,129453,75,899,18.35
178647,129606,79,898,18.93
177731,129309,76,897,18.65
178062,129520,74,896,18.5
178111,129435,74,885,18.99
176908,129257,69,887,18.26
177497,129455,74,896,18.4
178050,129795,78,897,19.08
178927,130112,83,928,18.26
179420,130184,70,926,18.94
182436,131171,80,937,18.72
182178,130942,82,942,18.6
182723,131024,72,933,18.8
181954,130479,72,924,18.41
181858,130448,75,914,19.04
182188,130427,81,912,18.97
182437,130545,71,910,18.71
181513,130043,80,895,18.43
182387,130402,76,903,18.44
181304,130062,81,911,18.61
181558,130179,83,908,18.67
180517,129891,71,903,18.26
180083,129867,80,909,18.46
180725,130193,73,911,18.5
179456,129803,72,944,18.58
179300,129989,77,854,18.21
178580,129660,74,851,18.07
178581,129582,52,848,18.39
178657,129380,78,848,18.59
179144,129603,82,851,18.26
178750,129517,82,859,18.5
179389,129696,79,896,19.01
179211,129738,82,885,18.62
178293,129467,73,880,18.48
178096,129499,78,874,18.89
178219,129709,70,851,18.1
177722,129584,78,847,18.02
177325,129547,82,842,18.64
177879,129753,76,837,18.0
177508,129797,75,841,16.57
178119,129764,73,837,18.43
177908,129840,71,833,18.05
178981,130082,80,831,18.32
177504,129256,82,929,18.78
179356,129859,81,930,18.51
180486,130158,80,929,18.77
180634,130030,77,951,18.53
180486,129776,83,944,19.09
180104,129415,80,919,19.14
179384,129214,73,917,18.91
178873,129123,79,901,19.08
179592,129502,79,898,18.22
179340,129581,81,907,17.65
179320,129831,71,909,18.18
179322,129800,75,905,18.42
179600,129889,82,903,18.47
178887,129703,80,899,19.1
179165,129862,80,895,18.77
178857,129799,74,902,18.28
179348,130003,73,895,18.17
179603,129922,76,912,19.09
181046,130835,69,720,18.21
184816,132600,72,733,17.94
185486,132842,60,766,18.75
184691,132426,76,773,18.22
184780,132468,73,753,18.24
185369,132401,77,712,18.53
186464,132602,65,706,18.41
187508,132909,72,713,17.9
187467,132825,68,706,17.8
187062,132765,73,704,18.23
185075,131635,74,710,17.84
183770,130966,77,713,17.8
183387,130963,71,721,18.02
184219,131438,67,723,18.62
183456,131229,74,734,17.88
183536,131425,67,736,17.85
183038,131298,75,737,18.55
185935,132913,80,802,18.36
186656,133049,76,834,18.71
187985,133762,83,951,18.76
187417,133259,71,878,18.12
184467,132274,81,933,18.84
183918,132269,83,943,19.13
185068,132320,78,870,19.0
191342,134785,78,974,18.99
190948,134381,72,492,17.65
192180,135371,64,564,17.4
192284,134915,66,554,17.34
190302,134499,69,543,17.91
189224,134007,64,528,17.5
189390,133786,61,511,17.58
188344,133320,64,504,17.54
187447,132990,73,499,17.42
186094,132421,72,487,17.56
185550,132274,71,482,16.94
185521,132384,70,471,16.96
185193,132302,66,478,17.38
184684,132330,73,474,17.36
185249,132502,67,468,17.36
185775,132658,67,464,17.82
186643,132967,72,457,17.61
186237,132886,65,456,16.99
186676,132970,66,450,17.52
186919,133319,73,455,17.11
190399,134786,61,465,17.38
189813,134404,66,477,17.58
188887,134005,62,479,17.85
187184,133294,64,444,16.8
187348,133240,70,443,16.85
187387,133172,70,434,16.77
186437,132855,68,420,16.46
186035,132751,70,418,16.72
186160,132709,66,363,16.9
186480,132872,62,432,17.21
186352,132754,70,448,16.84
185961,132651,65,450,17.1
186567,132813,66,459,16.8
185593,132551,60,462,17.32
186014,132594,66,459,17.24
187559,133537,61,535,17.49
184713,131959,68,507,16.97
184800,132006,82,522,17.32
184121,131769,72,525,18.0
184705,131782,63,528,17.42
184713,131834,65,498,17.34
184119,131493,64,489,17.54
182872,131144,61,496,17.02
183379,131068,64,470,17.43
182121,130894,73,471,17.45
183509,131018,60,469,17.05
182441,131068,65,461,17.48
182762,131145,63,483,17.03
182504,131122,62,499,17.62
182485,131166,66,499,17.29
183157,131407,63,497,17.71
183256,131494,61,464,17.56
184307,131841,62,463,17.6
183779,131904,60,459,17.19
184074,132140,60,452,17.32
183249,131926,69,450,16.9
183843,132104,70,449,16.79
183698,132085,59,445,17.18
184582,132319,62,432,16.64
182947,131867,59,432,17.06
184463,132551,64,450,18.41
183834,132234,63,453,16.81
184544,132160,69,448,16.72
182583,131579,64,416,17.53
181148,131329,58,413,16.59
181647,131459,62,419,16.63
182396,131726,59,419,17.0
182620,131854,68,416,16.8
182497,131800,72,406,17.25
183059,132086,66,403,17.41
182952,132029,61,399,16.96
182322,132009,69,401,17.42
182183,131910,58,405,17.09
182750,132148,63,406,16.7
181548,131788,64,405,16.58
181352,131732,63,400,16.71
181473,131775,70,401,17.28
181249,131775,58,400,16.5
181109,131720,66,387,16.81
181432,131775,69,394,17.19
183418,132393,68,400,16.97
182906,132225,69,401,17.33
182271,131974,60,397,17.37
181901,131896,67,391,16.89
181518,131918,70,391,17.29
181726,131997,70,391,16.63
186438,133477,61,490,17.08
185660,132940,66,464,17.35
185109,132518,64,473,17.41
184827,132340,62,475,17.12
183871,131803,67,481,17.65
183731,131821,68,489,19.2
183674,132030,73,554,17.76
182564,131529,70,557,17.54
181530,131188,65,549,17.21
181718,131674,72,545,17.58
181183,131448,69,555,17.58
180379,131403,73,645,17.63
181615,131769,64,656,18.06
182647,131808,74,683,17.57
183512,132135,65,704,17.98
183730,132217,76,715,18.09
183346,132286,93,700,17.88
185048,132779,70,642,18.39
185091,132829,70,640,18.09
183679,132552,68,651,17.77
184272,132850,75,657,17.73
183617,132666,67,656,17.66
184761,133209,65,640,18.37
185544,133381,67,682,20.04
185356,133232,73,675,17.64
185591,133231,75,687,17.74
184638,132965,76,679,18.33
184013,133001,74,674,18.45
184137,133112,68,663,17.65
183988,132934,75,670,18.36
184699,133049,71,766,18.05
183115,132291,75,754,17.76
181627,131873,68,759,18.38
182994,132140,72,802,18.63
184845,132954,71,782,18.82
186160,133613,63,112,14.73
186263,133655,59,103,14.7
186141,133660,54,105,14.61
186823,133841,52,101,13.95
188069,135106,74,745,17.97
188828,134813,77,755,18.55
186200,133666,74,560,17.22
185407,133328,64,550,17.92
183838,133011,73,593,17.33
183631,132879,67,373,17.33
184108,133078,63,382,16.57
184038,133152,69,390,16.93
184162,133162,62,399,17.37
183669,133147,69,389,17.2
183333,133141,69,387,17.09
182319,132828,70,384,16.93
181403,132485,59,384,17.0
182508,132895,63,382,17.11
182625,133081,59,379,16.46
181540,132790,59,384,16.67
181635,132645,60,391,16.49
183158,133151,68,375,16.48
182625,133028,67,372,16.43
183021,133060,69,336,16.73
181125,132339,62,326,16.51
180922,132263,60,336,16.79
181448,132403,67,320,16.8
185393,132700,58,359,16.81
183689,132539,61,347,16.34
183466,132605,66,353,16.79
187853,133960,60,395,17.38
183448,132549,60,366,16.57
181917,131321,81,832,18.66
183707,132236,62,545,17.42
181436,131680,63,447,17.18
180371,131344,61,370,16.4
179973,131232,62,337,16.72
177943,130597,61,337,16.88
182916,131951,58,357,16.83
184311,131892,70,400,16.83
184942,131688,64,402,17.14
184484,131205,63,398,16.67
184472,131080,64,391,18.72
183350,131045,70,397,16.98
181978,130404,58,387,17.35
181238,131011,62,342,16.4
180432,130909,67,342,17.14
180416,130960,62,343,16.7
182895,132209,68,382,16.58
181030,130891,63,375,17.36
182705,131795,67,406,17.5
181081,131374,66,335,16.43
183848,132161,69,420,17.25
